word,count,sent
flightled,40,neg
late,36,neg
other,30,neg
last,20,neg
cancelled,20,neg
next,19,neg
first,17,neg
good,17,neg
ridiculous,16,neg
available,16,neg
sure,15,neg
same,15,neg
early,15,neg
long,14,neg
disappointed,14,neg
free,14,neg
able,13,neg
flighted,13,neg
terrible,13,neg
rude,12,neg
available,12,neut
next,11,neut
possible,9,neut
free,8,neut
late,8,neut
sure,7,neut
last,7,neut
many,6,neut
cancelled,6,neut
direct,5,neut
ready,5,neut
good,5,neut
b737-700,5,neut
avgeek,5,neut
first,5,neut
other,5,neut
imagine,5,neut
quick,4,neut
extra,4,neut
rapid,4,neut
great,57,pos
awesome,28,pos
much,25,pos
good,20,pos
last,15,pos
free,12,pos
happy,12,pos
nice,11,pos
amazing,10,pos
next,8,pos
late,7,pos
quick,6,pos
outstanding,6,pos
excellent,6,pos
able,6,pos
commercial,6,pos
other,5,pos
helpful,5,pos
first,5,pos
black,4,pos
